HeadX, HeadY, HeadZ, ShoulderLeftX, ShoulderLeftY, ShoulderLeftZ, ShoulderRightX, ShoulderRightY, ShoulderRightZ, KneeLeftX, KneeLeftY, KneeLeftZ, KneeRightX, KneeRightY, KneeRightZ, ElbowLeftX, ElbowLeftY, ElbowLeftZ, ElbowRightX, ElbowRightY, ElbowRightZ, SpineX, SpineY, SpineZ, LeftHandX, LeftHandY, LeftHandZ, RightHandX, RightHandY, RightHandZ, LeftFootX, LeftFootY, LeftFootZ, RightFootX, RightFootY, RightFootZ
-0.009226647,0.9330813,1.832814,-0.1399146,0.6453023,1.743697,0.1659233,0.6477907,1.704049,-0.167993,-0.2202219,1.583753,0.1602316,-0.1645797,1.565893,-0.2437634,0.5048863,1.712404,0.2035739,0.5196943,1.577207,-0.0001374403,0.6884185,1.777552,-0.1570483,0.7845793,1.661732,0.0145035,0.710362,1.63051,-0.1219797,-0.7120258,1.498878,0.1288832,-0.6903726,1.500229
-0.0244739,0.9350041,1.82579,-0.1669547,0.6344274,1.731451,0.1518234,0.6513864,1.698902,-0.1692559,-0.2250375,1.587357,0.15773,-0.1636077,1.568627,-0.254501,0.4814314,1.71459,0.2009071,0.5193667,1.58011,-0.008171503,0.6903524,1.776387,-0.1666838,0.7896056,1.653547,0.004627329,0.7064838,1.624734,-0.1228416,-0.7122771,1.498632,0.1283173,-0.6903126,1.501012
-0.04030532,0.93866,1.817798,-0.1714359,0.6314864,1.728261,0.1421928,0.6581653,1.696355,-0.1697914,-0.2347615,1.595039,0.1548897,-0.1617677,1.572947,-0.2569714,0.4773379,1.716002,0.1932649,0.5214286,1.584313,-0.0163596,0.6973866,1.777905,-0.1752768,0.7886769,1.643423,-0.0255225,0.7287149,1.621262,-0.1235175,-0.7126927,1.500468,0.1280757,-0.6904431,1.503321
-0.05992545,0.9285986,1.799344,-0.1743024,0.6300981,1.725767,0.1435817,0.6594573,1.697371,-0.1682978,-0.2399783,1.603289,0.1508547,-0.1611486,1.57885,-0.2578855,0.4744223,1.718051,0.1900899,0.5217778,1.583485,-0.01814599,0.6993625,1.777188,-0.1722189,0.7418851,1.641583,-0.04644149,0.7544959,1.610473,-0.1250712,-0.7124374,1.501752,0.1223533,-0.691498,1.516917
-0.0813541,0.9133974,1.773338,-0.1835453,0.6144399,1.722662,0.1167359,0.6760818,1.691271,-0.1654849,-0.2403934,1.611127,0.1472832,-0.1647835,1.588351,-0.2419265,0.4584619,1.765023,0.182115,0.5353324,1.592632,-0.02328631,0.7099127,1.768072,-0.1745126,0.7131757,1.643211,-0.0587814,0.7220671,1.601461,-0.125736,-0.7104057,1.505565,0.1224044,-0.6912279,1.516627
-0.1097547,0.893109,1.748948,-0.1885086,0.6075493,1.722263,0.1068284,0.6769754,1.688396,-0.1613674,-0.2416183,1.621699,0.1435534,-0.1706583,1.59798,-0.2476462,0.4322922,1.797003,0.179884,0.5369642,1.594253,-0.02801561,0.7114859,1.763717,-0.2002006,0.7763413,1.610989,-0.07147773,0.7229825,1.59708,-0.1244482,-0.7102124,1.514584,0.1224478,-0.6911206,1.516299
-0.1163727,0.8886124,1.739966,-0.1917824,0.601987,1.721027,0.09912237,0.6805807,1.685684,-0.1578882,-0.2430324,1.629976,0.1390875,-0.170634,1.606188,-0.246155,0.4317424,1.799715,0.1784346,0.5383654,1.596353,-0.03357633,0.7111995,1.755851,-0.1854177,0.6691611,1.641062,-0.07762159,0.7167067,1.592736,-0.1199464,-0.711581,1.52103,0.1222021,-0.6908933,1.516743
-0.1265655,0.8870128,1.728919,-0.1918394,0.6029111,1.720495,0.0964349,0.6815005,1.684788,-0.1568189,-0.2439969,1.635334,0.1359584,-0.1697145,1.61188,-0.2435822,0.4325138,1.799574,0.1774775,0.5388273,1.597795,-0.03395139,0.7106539,1.756108,-0.1936302,0.6639578,1.630622,-0.1000915,0.7120512,1.568644,-0.1199287,-0.7109217,1.523141,0.1220793,-0.6906908,1.517241
-0.1452239,0.8819466,1.711894,-0.1974891,0.6059177,1.727275,0.08279553,0.6844209,1.677165,-0.1567103,-0.2452623,1.638759,0.1344771,-0.1704612,1.616069,-0.2410652,0.4309572,1.802523,0.1754618,0.5393503,1.600766,-0.05330935,0.7064209,1.73159,-0.2034079,0.6523571,1.618882,-0.1102013,0.6913011,1.555045,-0.1192287,-0.710537,1.526466,0.1224834,-0.6905631,1.51863
-0.1539056,0.8871686,1.705803,-0.1983296,0.6114572,1.730058,0.08258639,0.6842994,1.677089,-0.1564087,-0.2472644,1.641381,0.1330234,-0.1716838,1.619259,-0.2409389,0.4297142,1.803085,0.1731165,0.539465,1.603817,-0.05363213,0.7063883,1.731988,-0.1231796,0.6774153,1.532245,-0.1217244,0.6704732,1.533513,-0.1198258,-0.7100192,1.527497,0.1227802,-0.6904747,1.51959
