HeadX, HeadY, HeadZ, ShoulderLeftX, ShoulderLeftY, ShoulderLeftZ, ShoulderRightX, ShoulderRightY, ShoulderRightZ, KneeLeftX, KneeLeftY, KneeLeftZ, KneeRightX, KneeRightY, KneeRightZ, ElbowLeftX, ElbowLeftY, ElbowLeftZ, ElbowRightX, ElbowRightY, ElbowRightZ, SpineX, SpineY, SpineZ, LeftHandX, LeftHandY, LeftHandZ, RightHandX, RightHandY, RightHandZ
-0.0766777,0.8828304,1.645003,-0.2607242,0.6435415,1.579224,0.01684537,0.6550285,1.67894,-0.2843274,-0.080883,1.452597,-0.01689785,-0.2073656,1.443173,-0.4082281,0.4646069,1.626912,0.05925325,0.4593709,1.761901,-0.1318554,0.7091865,1.62734,-0.269446,0.5534418,1.430371,0.1109881,0.5478885,1.504441
-0.07332001,0.882208,1.647085,-0.2428836,0.6424487,1.576576,0.02622547,0.657342,1.692447,-0.2832109,-0.08374048,1.448762,-0.01567257,-0.2085772,1.4438,-0.4063071,0.4656721,1.626377,0.07052622,0.448322,1.75206,-0.1307117,0.7092853,1.628087,-0.2585981,0.5611116,1.435245,0.1195232,0.5468312,1.508537
-0.07143395,0.8827447,1.648847,-0.2440118,0.6426319,1.576815,0.02643478,0.6568568,1.692287,-0.2814305,-0.08859994,1.444253,-0.01507978,-0.2108664,1.443965,-0.4035911,0.465885,1.624015,0.08611728,0.4532483,1.704391,-0.1295684,0.7092969,1.628155,-0.2646963,0.5513107,1.419643,0.1270272,0.5385401,1.499214
-0.07057876,0.8837425,1.650476,-0.2474025,0.6442988,1.57798,0.02647316,0.6567971,1.692299,-0.2797298,-0.09121309,1.443795,-0.01578059,-0.212077,1.446194,-0.400647,0.4658447,1.61973,0.06931037,0.4588034,1.742677,-0.1290186,0.7095633,1.628325,-0.2672829,0.5411622,1.412661,0.134401,0.533648,1.493751
-0.07005594,0.8842455,1.650902,-0.2486349,0.6448031,1.578164,0.02708334,0.6579826,1.694422,-0.2791137,-0.09215701,1.443741,-0.01617237,-0.2128639,1.44708,-0.4006058,0.4658836,1.619813,0.06265114,0.431244,1.791704,-0.1291943,0.7102739,1.629088,-0.268383,0.5487344,1.418748,0.1270433,0.5453087,1.502651
-0.0701915,0.8855515,1.652288,-0.2491929,0.6448703,1.578221,0.02717084,0.6585663,1.695388,-0.2797634,-0.09216531,1.444184,-0.01614229,-0.2132466,1.447012,-0.4007158,0.4660614,1.62013,0.0705556,0.455342,1.745644,-0.1289645,0.7104645,1.629173,-0.266959,0.5577052,1.425893,0.1196584,0.5579361,1.511477
-0.0709379,0.8865277,1.652497,-0.2512558,0.6427878,1.578111,0.02677717,0.6583025,1.69561,-0.2875282,-0.09150071,1.444209,-0.01598617,-0.2134916,1.44262,-0.4078124,0.4617606,1.624965,0.06562306,0.4566876,1.745342,-0.1289965,0.7104247,1.629182,-0.2679382,0.5556905,1.428582,0.1084586,0.564543,1.516189
-0.07513885,0.883535,1.654534,-0.2532277,0.6418843,1.578339,0.02593684,0.6575631,1.695982,-0.3046578,-0.07564747,1.437561,-0.01610118,-0.2136259,1.438022,-0.4072383,0.4593031,1.619247,0.06177267,0.4554694,1.745725,-0.1331808,0.7087086,1.631364,-0.2690519,0.5464107,1.420073,0.109136,0.5627717,1.508082
-0.07595683,0.8848583,1.655475,-0.2559209,0.6417602,1.57935,0.02506148,0.6572611,1.696847,-0.3044764,-0.07873051,1.435052,-0.0159292,-0.2089587,1.431659,-0.4132093,0.4516072,1.62068,0.05172167,0.4247495,1.780964,-0.1331863,0.7087061,1.631366,-0.2724603,0.5299392,1.407413,0.1108248,0.5482168,1.494875
-0.08318762,0.8855779,1.659956,-0.2585759,0.6435088,1.580286,0.02345177,0.6572471,1.697062,-0.3034798,-0.07682044,1.435994,-0.01738125,-0.2081579,1.43231,-0.4164214,0.4500514,1.622269,0.04304504,0.4277368,1.767553,-0.1389802,0.708984,1.634243,-0.2813908,0.520925,1.405335,0.1113169,0.5380754,1.487743
-0.08797221,0.8886878,1.662838,-0.2596701,0.6437163,1.580416,0.02171096,0.6572415,1.696702,-0.3028761,-0.07715597,1.437525,-0.02008136,-0.2060437,1.433594,-0.4123928,0.450913,1.616483,0.03732243,0.4232011,1.785081,-0.1410369,0.7092947,1.63482,-0.2836497,0.5353724,1.412335,0.1004551,0.5463147,1.499179
-0.08971421,0.8916109,1.663056,-0.2599372,0.6435572,1.580331,0.01959569,0.6568145,1.695848,-0.3035446,-0.07706589,1.439296,-0.02110095,-0.2052927,1.434012,-0.4132802,0.452978,1.616511,0.03647312,0.4526022,1.757954,-0.1404866,0.7096646,1.634202,-0.2830856,0.5440615,1.422073,0.08991985,0.5554129,1.509031
-0.09286245,0.8894877,1.66336,-0.2597426,0.6376251,1.577322,0.001477228,0.6484427,1.689004,-0.3242834,-0.06963913,1.436394,-0.02114358,-0.2013325,1.432078,-0.4278875,0.4548813,1.63267,0.03593446,0.4528563,1.757408,-0.1453105,0.7087814,1.634428,-0.2850478,0.5491615,1.435019,0.08399511,0.5626248,1.514761
-0.09656353,0.8885738,1.663693,-0.2654548,0.6399495,1.579561,-0.0007608018,0.6495318,1.694421,-0.3240952,-0.07027627,1.435452,-0.02104105,-0.2006949,1.431765,-0.4276687,0.4479631,1.631462,0.03434707,0.4516287,1.747769,-0.1483435,0.7078399,1.635387,-0.2899154,0.5258593,1.412992,0.0949336,0.5472669,1.492716
-0.09934173,0.889339,1.663783,-0.2731866,0.6477684,1.581825,-0.001791391,0.6518809,1.698528,-0.3231132,-0.07062391,1.435276,-0.02098061,-0.1983854,1.431684,-0.4281631,0.4486387,1.63051,0.0313938,0.4410688,1.74591,-0.150026,0.708018,1.635409,-0.2939715,0.5154946,1.406477,0.102238,0.533187,1.482945
-0.1005932,0.8897737,1.66358,-0.273883,0.6484516,1.581656,-0.002514425,0.6534171,1.699557,-0.3193782,-0.07235392,1.436288,-0.02157637,-0.2003496,1.432412,-0.4284689,0.4479809,1.629797,0.02834689,0.4521292,1.752883,-0.1512706,0.7085989,1.635562,-0.2967849,0.5226305,1.411335,0.1015863,0.5349543,1.487926
-0.1013581,0.8907666,1.663209,-0.2735596,0.6489086,1.581185,-0.004666019,0.6540954,1.697764,-0.31721,-0.07649111,1.436639,-0.02241496,-0.198143,1.4335,-0.4320313,0.4500957,1.632749,0.02912544,0.4564661,1.75222,-0.1519542,0.7095051,1.635436,-0.2949356,0.5449195,1.422059,0.09359471,0.54627,1.49926
-0.1019512,0.8920163,1.662322,-0.2682146,0.6503972,1.576545,-0.006771766,0.6549631,1.694905,-0.3175304,-0.07717757,1.435718,-0.02258353,-0.1962799,1.433292,-0.4479791,0.4749983,1.647195,0.02890601,0.4591055,1.752309,-0.1526778,0.7104488,1.634386,-0.2989724,0.5681477,1.419516,0.08851258,0.5598806,1.506166
-0.1025177,0.8924698,1.660991,-0.2653064,0.6432256,1.570131,-0.009495748,0.6537021,1.689401,-0.3172452,-0.07490895,1.434354,-0.02199276,-0.1940061,1.43197,-0.4485224,0.4752041,1.647617,0.02843123,0.4602901,1.75463,-0.1533276,0.7107612,1.633249,-0.3010911,0.5752462,1.42793,0.08473889,0.5699058,1.51077
-0.1033445,0.8925316,1.659163,-0.2652888,0.6363341,1.567121,-0.0110932,0.6521994,1.685997,-0.3188095,-0.07698876,1.43382,-0.0210779,-0.1918414,1.430746,-0.4489619,0.4754702,1.647192,0.02865844,0.4610124,1.754388,-0.1539789,0.7105445,1.632383,-0.3040921,0.5744047,1.427628,0.08436508,0.5714223,1.509905
-0.1038419,0.8923674,1.657522,-0.2650174,0.6330296,1.565867,-0.01119263,0.6519096,1.685774,-0.3218117,-0.07629851,1.430994,-0.01916722,-0.2040771,1.427128,-0.4429963,0.4684083,1.631749,0.02953121,0.4615921,1.752971,-0.1545652,0.7103758,1.631697,-0.3053504,0.5716666,1.416521,0.08901858,0.5685126,1.500034
-0.1041316,0.8924072,1.656564,-0.2648246,0.633139,1.56568,-0.01111954,0.6519609,1.68572,-0.3186761,-0.07754703,1.428746,-0.01912573,-0.2060706,1.426615,-0.444321,0.4696879,1.631456,0.03077692,0.4615511,1.751609,-0.1549605,0.7103048,1.631004,-0.3068367,0.5552264,1.403161,0.09696449,0.5567258,1.484495
-0.1042072,0.8929216,1.656218,-0.2643083,0.6368158,1.567792,-0.0003449754,0.6547126,1.687899,-0.3164632,-0.07710665,1.427497,-0.01947962,-0.2062529,1.426705,-0.444003,0.4622573,1.62989,0.03453766,0.4608841,1.747396,-0.1549942,0.7105421,1.630497,-0.3068736,0.5394457,1.400458,0.1036576,0.5503704,1.47643
-0.1042568,0.8938271,1.655392,-0.2636356,0.6385297,1.568427,0.002739063,0.655431,1.688034,-0.3126717,-0.07957292,1.427629,-0.01997173,-0.2061611,1.426897,-0.44414,0.4618161,1.629515,0.03537773,0.4608486,1.746229,-0.1547331,0.7111678,1.629876,-0.2981592,0.54685,1.408949,0.1000346,0.5540041,1.48271
-0.1034892,0.8997453,1.65375,-0.2624961,0.639058,1.568315,0.004195311,0.6556605,1.687124,-0.3160684,-0.07486607,1.428322,-0.02067989,-0.2045352,1.427028,-0.4379317,0.4606469,1.623299,0.03565325,0.4613098,1.745865,-0.1485297,0.7123089,1.627304,-0.2993734,0.5504203,1.411611,0.0931063,0.5625592,1.49096
-0.104013,0.9020903,1.65267,-0.2603574,0.6393527,1.567458,0.005401549,0.6556228,1.686171,-0.3165374,-0.07435101,1.428732,-0.02187189,-0.1981589,1.426894,-0.4321492,0.4610743,1.619388,0.03592717,0.4615665,1.745399,-0.1456987,0.712547,1.625978,-0.2983308,0.5582064,1.41533,0.08998444,0.5744516,1.496134
-0.1042004,0.9031839,1.651279,-0.259635,0.6392368,1.567059,0.006319296,0.6550642,1.685034,-0.3171498,-0.07394161,1.428902,-0.02181342,-0.1947416,1.426588,-0.4301651,0.4605318,1.617334,0.03698459,0.4611727,1.743959,-0.144086,0.7127244,1.625143,-0.2940982,0.5615339,1.415427,0.08833942,0.5814495,1.496759
-0.1044392,0.9033477,1.649687,-0.2594918,0.6387056,1.566988,0.007103732,0.6549155,1.684587,-0.3169149,-0.07403575,1.428844,-0.02137749,-0.1932087,1.425889,-0.4235216,0.4581392,1.611713,0.03835606,0.4607131,1.74251,-0.1431815,0.7124968,1.624595,-0.2901073,0.5586827,1.411746,0.09107862,0.5810511,1.491123
-0.104681,0.9037346,1.648977,-0.259456,0.6385212,1.567016,0.007854918,0.6549491,1.684537,-0.3105811,-0.08080553,1.427165,-0.02113862,-0.1935666,1.425437,-0.4197043,0.4557567,1.607273,0.03899667,0.4606991,1.742388,-0.1424671,0.7124507,1.624165,-0.2845596,0.5554127,1.40567,0.09709902,0.5769677,1.481098
-0.1042464,0.903772,1.647869,-0.2591222,0.6385979,1.567005,0.008781459,0.6551168,1.684552,-0.308702,-0.08294914,1.426414,-0.01987837,-0.2014768,1.424341,-0.4216738,0.451292,1.610917,0.0401981,0.4605004,1.741373,-0.1415998,0.7123242,1.623605,-0.2837003,0.5488567,1.400377,0.1022135,0.5701177,1.472972
-0.1041162,0.9038453,1.646808,-0.2586644,0.638705,1.566944,0.009665268,0.6552595,1.684502,-0.3043875,-0.08163732,1.42689,-0.01960259,-0.1960824,1.424478,-0.4223257,0.4493439,1.612212,0.04120604,0.4607129,1.740824,-0.140862,0.7122439,1.623154,-0.2833314,0.5476235,1.397824,0.1041327,0.5679754,1.472076
-0.1037239,0.9039171,1.645968,-0.2584759,0.638343,1.566898,0.01033732,0.6554059,1.684228,-0.3034033,-0.0819469,1.426914,-0.01963761,-0.1958134,1.424506,-0.4158638,0.4500065,1.602726,0.04207458,0.460997,1.740822,-0.1401723,0.7122583,1.62262,-0.2820768,0.5478507,1.398205,0.1040426,0.5692065,1.473648
-0.1018953,0.9032283,1.643663,-0.2576933,0.6386617,1.566565,0.01193844,0.6561173,1.684765,-0.2986398,-0.08466545,1.427605,-0.01967071,-0.1931818,1.424352,-0.4098465,0.4514803,1.59789,0.04432073,0.4612289,1.739852,-0.1393817,0.7123852,1.621894,-0.2765065,0.5496753,1.395193,0.1038214,0.5714167,1.476771
-0.1010534,0.9032112,1.642676,-0.2586726,0.6415162,1.567838,0.01298776,0.6565794,1.684967,-0.2971206,-0.0849353,1.427687,-0.01955475,-0.1911312,1.42425,-0.4069683,0.451422,1.595953,0.04630337,0.4611023,1.73808,-0.138653,0.7125338,1.62139,-0.2772561,0.5449002,1.391818,0.1068298,0.571148,1.475345
-0.09896137,0.902333,1.640755,-0.258127,0.6417646,1.567616,0.01395589,0.6570739,1.685208,-0.2952639,-0.07856502,1.42464,-0.01940826,-0.1900396,1.424336,-0.4044723,0.4516197,1.594672,0.04778379,0.4612994,1.737277,-0.1379759,0.712661,1.620837,-0.2711742,0.5475018,1.394502,0.1086245,0.5709231,1.474796
-0.09707296,0.9017222,1.639553,-0.2577803,0.641997,1.567453,0.01479889,0.6574982,1.685265,-0.2957306,-0.07770547,1.423061,-0.01926585,-0.1893103,1.424518,-0.401904,0.4519605,1.59319,0.04859477,0.4615925,1.737,-0.1373002,0.7127761,1.620332,-0.2701951,0.546969,1.392741,0.1101319,0.5730727,1.473895
-0.09579585,0.9012814,1.638256,-0.2583215,0.643388,1.567925,0.01548416,0.6578283,1.685252,-0.2895716,-0.07962804,1.425548,-0.01906452,-0.1884783,1.42469,-0.4053739,0.4490532,1.601971,0.04929256,0.462004,1.73721,-0.1366046,0.7128171,1.619834,-0.2678765,0.5477808,1.391213,0.1095242,0.5733922,1.472699
-0.09474266,0.9012299,1.637644,-0.2597907,0.6460252,1.568957,0.01600051,0.6579484,1.685091,-0.2893761,-0.07890403,1.425944,-0.0188346,-0.189021,1.424922,-0.3991643,0.4541361,1.591644,0.04992291,0.4622754,1.737411,-0.136014,0.7130003,1.61939,-0.2673031,0.5474833,1.390198,0.1085902,0.5738345,1.472422
-0.09319145,0.9010168,1.636982,-0.2604677,0.6475397,1.569534,0.01639236,0.6580198,1.684968,-0.288962,-0.07858364,1.426338,-0.01804374,-0.1993244,1.42526,-0.4056112,0.4531254,1.59948,0.05024274,0.4624452,1.737592,-0.1354347,0.7132605,1.619036,-0.2637806,0.5428824,1.395147,0.108018,0.5736136,1.473106
-0.0909185,0.9000547,1.635518,-0.2596422,0.6473514,1.568843,0.01681628,0.6580908,1.684753,-0.2884251,-0.07850251,1.426157,-0.01757134,-0.1947036,1.425428,-0.4098786,0.453293,1.603378,0.05048367,0.4625806,1.737644,-0.134925,0.7133829,1.618571,-0.2676371,0.5471044,1.386751,0.1088424,0.574136,1.470767
-0.08927789,0.8997549,1.634933,-0.2590609,0.6472797,1.568352,0.01718134,0.6582142,1.684663,-0.288036,-0.07829101,1.426247,-0.01755163,-0.197868,1.425989,-0.4246334,0.4504485,1.611761,0.0507185,0.4628711,1.737553,-0.1345118,0.7136421,1.618312,-0.2667219,0.5451101,1.389104,0.1090927,0.5738081,1.471408
-0.08794731,0.8994326,1.633954,-0.2585199,0.6472197,1.567874,0.01751591,0.6582594,1.684546,-0.2877117,-0.07815816,1.42615,-0.01705744,-0.201934,1.425909,-0.4230818,0.4500373,1.611458,0.05082105,0.4630054,1.737281,-0.1340166,0.7137855,1.617885,-0.2659335,0.5448115,1.387695,0.1091968,0.5729407,1.468901
-0.08477888,0.8996274,1.633455,-0.2594595,0.6483867,1.56818,0.01778554,0.6582803,1.684366,-0.2873575,-0.07792521,1.426037,-0.01717172,-0.2010688,1.425897,-0.4228682,0.4527168,1.60988,0.05105852,0.4631239,1.736839,-0.1351023,0.7148969,1.614675,-0.2654084,0.5453871,1.387202,0.1095253,0.5734057,1.468716
-0.08359678,0.8990685,1.632486,-0.2601118,0.6492953,1.568399,0.01797893,0.6583129,1.684262,-0.2870255,-0.07786246,1.426173,-0.01717579,-0.2011051,1.425976,-0.4222167,0.4522336,1.609781,0.05112789,0.4632841,1.736619,-0.1345859,0.7149023,1.614623,-0.2558167,0.5473325,1.400067,0.1084693,0.5727665,1.470793
-0.08277749,0.8986779,1.631809,-0.2596957,0.6490634,1.567935,0.01821194,0.6583471,1.684118,-0.2869242,-0.07778495,1.426115,-0.01719587,-0.2006955,1.426052,-0.4221887,0.4528222,1.609472,0.05121433,0.4634244,1.736322,-0.1341559,0.7148283,1.614518,-0.2541387,0.5469502,1.400781,0.1083267,0.5740008,1.471174
-0.08161987,0.8979466,1.630868,-0.260386,0.6497929,1.568109,0.0184153,0.6584159,1.683949,-0.2840957,-0.07884654,1.427046,-0.01730705,-0.2030518,1.425775,-0.4223028,0.4525791,1.609792,0.05145318,0.4633058,1.735121,-0.1337924,0.7147812,1.614393,-0.2530131,0.5473411,1.400056,0.1079795,0.5734992,1.47112
-0.07997086,0.8966509,1.629087,-0.2607054,0.650035,1.568033,0.01860529,0.6585147,1.683795,-0.2840571,-0.07843926,1.426766,-0.01788782,-0.1964853,1.425455,-0.4218392,0.4522345,1.60823,0.05174418,0.463167,1.733737,-0.1333544,0.7147562,1.614077,-0.2525293,0.5490705,1.397548,0.1092405,0.574531,1.467753
-0.07884869,0.89609,1.628058,-0.2609014,0.6503206,1.56801,0.01880932,0.6586265,1.683649,-0.2840706,-0.0781647,1.426581,-0.01849308,-0.2072295,1.42601,-0.4208066,0.4528007,1.607164,0.05214005,0.4629874,1.732116,-0.1328811,0.7148449,1.613884,-0.2649319,0.5458103,1.381908,0.1111547,0.5746218,1.466603
