HeadX, HeadY, HeadZ, ShoulderLeftX, ShoulderLeftY, ShoulderLeftZ, ShoulderRightX, ShoulderRightY, ShoulderRightZ, ShoulderCenterX, ShoulderCenterY, ShoulderCenterZ, KneeLeftX, KneeLeftY, KneeLeftZ, KneeRightX, KneeRightY, KneeRightZ, ElbowLeftX, ElbowLeftY, ElbowLeftZ, ElbowRightX, ElbowRightY, ElbowRightZ, SpineX, SpineY, SpineZ, LeftHandX, LeftHandY, LeftHandZ, RightHandX, RightHandY, RightHandZ, LeftFootX, LeftFootY, LeftFootZ, RightFootX, RightFootY, RightFootZ
-0.1020502,0.7960744,1.959553,-0.2981584,0.5463307,1.900207,-0.03636781,0.5401066,2.049068,-0.153106,0.5955892,1.948638,-0.2356186,-0.2064736,1.630263,0.04482279,-0.2396606,1.779237,-0.4234156,0.3895163,1.86483,0.01956814,0.3045186,2.158368,-0.1418072,0.3769003,1.91373,-0.2317489,0.3104725,1.737288,0.07277253,0.5756681,2.05162,-0.1776868,-0.68281,1.504872,0.07505387,-0.552979,1.630229
-0.09885657,0.7922791,1.962081,-0.2977762,0.5452698,1.897471,-0.03969298,0.5400835,2.049786,-0.1553864,0.5948226,1.948018,-0.2330155,-0.2092446,1.628094,0.04362486,-0.2406971,1.779653,-0.4267538,0.3924412,1.855575,0.01537832,0.3044981,2.159861,-0.14483,0.3744726,1.911126,-0.2355113,0.3100654,1.731923,0.06685379,0.5750759,2.064406,-0.1756988,-0.6881667,1.505598,0.07505308,-0.5551,1.630954
-0.09679951,0.7885178,1.964716,-0.2978705,0.5407452,1.874941,-0.04226921,0.5397274,2.050759,-0.1572998,0.5939332,1.947864,-0.23149,-0.2112697,1.626474,0.04261077,-0.2417998,1.779741,-0.4230723,0.38501,1.827904,0.0009975632,0.3009775,2.160791,-0.1468644,0.3724284,1.909394,-0.2377153,0.30674,1.727122,0.06263029,0.5740558,2.07356,-0.1694814,-0.6915624,1.509433,0.07087789,-0.5577018,1.623807
-0.09742288,0.7857863,1.966846,-0.2975673,0.5408278,1.876914,-0.04388083,0.5395328,2.050859,-0.1594259,0.5931415,1.947089,-0.2292829,-0.2137412,1.625052,0.04235824,-0.2435031,1.779604,-0.4142015,0.3829048,1.810506,-0.005730253,0.2994291,2.161121,-0.1513373,0.3701968,1.906584,-0.2168814,0.3097346,1.715358,0.05799638,0.572394,2.07874,-0.2076336,-0.7665144,1.539105,0.07757509,-0.5704073,1.631378
-0.09592571,0.7827878,1.969664,-0.2974378,0.5405611,1.875913,-0.04580802,0.5393581,2.051348,-0.1605743,0.5925737,1.947028,-0.2296268,-0.2167442,1.622795,0.04219116,-0.2443842,1.779292,-0.4683675,0.4404973,1.831822,-0.02035528,0.3174927,2.146737,-0.151311,0.3688778,1.906121,-0.2192852,0.305358,1.713598,0.05410914,0.5665841,2.081041,-0.2070073,-0.7702181,1.537285,0.07484239,-0.5623024,1.626596
-0.09503274,0.7808531,1.971611,-0.2985902,0.5387187,1.86416,-0.04689469,0.5391915,2.051541,-0.161854,0.5920203,1.946745,-0.2275063,-0.215849,1.62158,0.04203363,-0.2448375,1.779127,-0.4703656,0.4393943,1.829407,-0.02142936,0.31671,2.14903,-0.1529923,0.3675141,1.904973,-0.2189454,0.306741,1.709639,0.0496576,0.5642077,2.084401,-0.2068546,-0.7704096,1.53697,0.07493713,-0.5634688,1.626621
-0.09417203,0.7793187,1.974128,-0.2978592,0.5384806,1.860124,-0.0477315,0.5393306,2.051835,-0.1623032,0.5919355,1.94682,-0.2261382,-0.2145429,1.620219,0.04189244,-0.2451462,1.779113,-0.4696348,0.4414491,1.821584,-0.01953431,0.3254312,2.152349,-0.1528999,0.3671158,1.904989,-0.2178488,0.3104571,1.705627,0.04808801,0.559617,2.086679,-0.2067098,-0.7703384,1.536828,0.07507069,-0.5644335,1.626577
-0.09239848,0.7767974,1.97664,-0.2966056,0.5380044,1.85554,-0.048208,0.539382,2.052062,-0.1626123,0.591797,1.946911,-0.2253361,-0.2138873,1.619105,0.04167119,-0.245561,1.779089,-0.4668877,0.4422136,1.80759,-0.0210411,0.3243623,2.154294,-0.1527749,0.3663219,1.904996,-0.2159369,0.3110272,1.70338,0.04644485,0.5568839,2.087647,-0.2063869,-0.7718379,1.536166,0.07642996,-0.5708038,1.628784
-0.09105805,0.7751338,1.978687,-0.2951154,0.538114,1.852243,-0.04840964,0.5393621,2.052212,-0.1627358,0.5916445,1.946935,-0.2230172,-0.2127016,1.617789,0.04129511,-0.2459478,1.779076,-0.463338,0.4417206,1.795827,-0.02044153,0.3234434,2.155934,-0.1525742,0.3656133,1.904918,-0.2049328,0.3118287,1.709035,0.04682861,0.552234,2.089281,-0.2051749,-0.7691514,1.531414,0.07436725,-0.5673913,1.626632
-0.088275,0.7735812,1.982141,-0.2931716,0.5382032,1.848965,-0.04837774,0.5393949,2.052299,-0.1627051,0.5915927,1.946951,-0.2144773,-0.2110719,1.61412,0.0408436,-0.2463028,1.779276,-0.4589619,0.4413127,1.784207,-0.0205849,0.3233701,2.156397,-0.1523333,0.3650877,1.904894,-0.2446295,0.3118892,1.714457,0.04769874,0.5490988,2.088832,-0.2051403,-0.7694738,1.532576,0.07442538,-0.5682626,1.626723
-0.08545361,0.7723913,1.983162,-0.2894254,0.5377809,1.844314,-0.0479705,0.5395061,2.052383,-0.1625401,0.5915415,1.946922,-0.2104414,-0.2097173,1.613076,0.04023684,-0.2463622,1.779579,-0.432218,0.4206336,1.756119,-0.02314515,0.32457,2.15501,-0.1524497,0.3647892,1.904814,-0.1882447,0.3245586,1.705184,0.05042396,0.5440704,2.084559,-0.2053554,-0.7699957,1.534751,0.07456218,-0.5687498,1.626856
-0.07961283,0.7707012,1.984582,-0.2856962,0.5376913,1.84004,-0.04593395,0.5392273,2.052356,-0.1606184,0.5907888,1.946735,-0.2087333,-0.2102803,1.613741,0.03962765,-0.2468615,1.780174,-0.4226173,0.4158973,1.747813,-0.02268065,0.3302904,2.153575,-0.150777,0.3631588,1.904815,-0.174502,0.3416255,1.69096,0.0505534,0.517508,2.079441,-0.2038179,-0.7652478,1.546844,0.07349397,-0.5696869,1.626372
-0.07311694,0.7687443,1.983983,-0.2816795,0.5398847,1.836097,-0.04135353,0.5388964,2.051436,-0.1566584,0.589948,1.945808,-0.208252,-0.2107297,1.616277,0.03858778,-0.2485658,1.781374,-0.4177951,0.4170382,1.743931,-0.02033861,0.3382985,2.150787,-0.1484502,0.361784,1.904517,-0.1260125,0.3610849,1.679678,0.05585078,0.5208368,2.06519,-0.2036516,-0.7649936,1.547236,0.07195234,-0.5714566,1.624247
