HeadX, HeadY, HeadZ, ShoulderLeftX, ShoulderLeftY, ShoulderLeftZ, ShoulderRightX, ShoulderRightY, ShoulderRightZ, KneeLeftX, KneeLeftY, KneeLeftZ, KneeRightX, KneeRightY, KneeRightZ, ElbowLeftX, ElbowLeftY, ElbowLeftZ, ElbowRightX, ElbowRightY, ElbowRightZ, SpineX, SpineY, SpineZ, HandLeftX, HandLeftY, HandLeftZ, HandRightX, HandRightY, HandRightZ, FootLeftX, FootLeftY, FootLeftZ, FootRightX, FootRightY, FootRightZ
-0.07608565,0.9174998,1.78681,-0.2488585,0.6250932,1.5683,0.03740048,0.6038536,1.822096,-0.2038087,-0.2384484,1.361388,0.008470027,-0.2531783,1.602038,-0.3586017,0.5094611,1.363171,-0.08425296,0.8216777,1.724749,-0.1310039,0.7171644,1.719469,-0.2735057,0.6215482,1.176267,0.1584288,0.8675619,1.851833,-0.2036783,-0.6365562,1.221846,-0.04894062,-0.5343695,1.504747
-0.08576372,0.9174022,1.780559,-0.257106,0.6367449,1.558881,0.02240775,0.607883,1.807791,-0.2035069,-0.2390849,1.35823,0.008967096,-0.2503749,1.603209,-0.3608937,0.5090632,1.35045,-0.09793491,0.827786,1.715008,-0.1450665,0.7208936,1.70603,-0.2706167,0.6209632,1.169382,0.1449431,0.8522021,1.843093,-0.1708984,-0.6567383,1.253906,-0.05303065,-0.5269217,1.503601
-0.09078431,0.9183869,1.777596,-0.2573673,0.6365521,1.556556,0.01834848,0.6082929,1.804256,-0.2021536,-0.2411099,1.357031,0.008194769,-0.2491718,1.603626,-0.3616322,0.5088658,1.345112,-0.09779096,0.8208084,1.713419,-0.1492261,0.7212313,1.702449,-0.2698563,0.6204318,1.166369,0.1450834,0.8449521,1.841484,-0.2002701,-0.6378105,1.223032,-0.05371191,-0.5266572,1.502943
-0.09410454,0.9188357,1.776063,-0.2576858,0.63591,1.554675,0.01550985,0.6085214,1.802049,-0.2021253,-0.2440565,1.356137,0.007608,-0.2503192,1.603149,-0.3624068,0.5079336,1.342067,-0.09966309,0.815788,1.711973,-0.1520583,0.7213107,1.700242,-0.2718335,0.6188306,1.165267,0.1432336,0.8399608,1.840027,-0.173674,-0.6554605,1.253196,-0.05429854,-0.5262311,1.502409
-0.09634651,0.9186281,1.774425,-0.2580281,0.6351251,1.552356,0.01226499,0.6091083,1.80011,-0.2020113,-0.24698,1.354494,0.01308953,-0.2506787,1.605498,-0.3631094,0.5068871,1.340489,-0.1038948,0.8151355,1.710494,-0.1553432,0.7214477,1.698454,-0.2715311,0.6188483,1.162376,0.1390395,0.8393113,1.838556,-0.1964197,-0.6428765,1.222247,-0.05461629,-0.5261584,1.502031
-0.1002964,0.9224855,1.771137,-0.2576126,0.6341177,1.553018,0.01494009,0.6079803,1.80314,-0.2015435,-0.2473448,1.353292,0.01321681,-0.2506863,1.6057,-0.3641863,0.5046061,1.338061,-0.1064746,0.8151248,1.709689,-0.1535784,0.7205552,1.700419,-0.2718239,0.6163675,1.160068,0.1364822,0.8393003,1.837758,-0.1710676,-0.6566128,1.252922,-0.05491842,-0.5259731,1.501401
-0.1025488,0.9229435,1.770239,-0.258088,0.6313643,1.554382,0.01419707,0.6075125,1.803038,-0.2002666,-0.2481925,1.352774,-0.06203349,-0.4025508,1.576993,-0.3653567,0.5035231,1.338603,-0.1082221,0.815118,1.709181,-0.1541769,0.7200224,1.700338,-0.2768813,0.6161529,1.158875,0.1347498,0.8392934,1.837253,-0.1707794,-0.6567856,1.253004,-0.007732118,-0.7367051,1.422989
-0.1039696,0.9226812,1.770128,-0.2586246,0.6299058,1.555355,0.01340659,0.6069057,1.803013,-0.1935441,-0.2510494,1.355657,-0.06177129,-0.4046746,1.577407,-0.3674953,0.5020476,1.33939,-0.1143534,0.8218721,1.707819,-0.1548378,0.7192912,1.7003,-0.2825759,0.6138911,1.156988,0.1287334,0.8483924,1.83593,-0.1958559,-0.6447753,1.22106,-0.007373488,-0.7365904,1.423158
-0.1055571,0.9225563,1.770319,-0.2580542,0.629631,1.555808,0.01275753,0.6062734,1.803059,-0.1924771,-0.2517241,1.355314,-0.06157087,-0.4055141,1.577737,-0.3691,0.5010403,1.340322,-0.116044,0.8209518,1.708787,-0.1554594,0.7185743,1.700435,-0.2854205,0.6149268,1.157442,0.1270933,0.8512758,1.836903,-0.195765,-0.6452658,1.22027,-0.007479291,-0.7364259,1.423068
-0.1062955,0.9224085,1.770668,-0.2583235,0.6293466,1.556342,0.01233758,0.6059687,1.803295,-0.1920988,-0.2513177,1.35439,-0.06114159,-0.4064031,1.577978,-0.3719018,0.4990512,1.340508,-0.1176162,0.8201264,1.709477,-0.1560329,0.7181856,1.700685,-0.2897803,0.6144039,1.158281,0.1255058,0.8532183,1.837599,-0.1958094,-0.6455578,1.219815,-0.00778315,-0.7362814,1.423052
