TimeStamp, FrameNoHeadX, HeadY, HeadZ, ShoulderLeftX, ShoulderLeftY, ShoulderLeftZ, ShoulderRightX, ShoulderRightY, ShoulderRightZ, ShoulderCenterX, ShoulderCenterY, ShoulderCenterZ, KneeLeftX, KneeLeftY, KneeLeftZ, KneeRightX, KneeRightY, KneeRightZ, ElbowLeftX, ElbowLeftY, ElbowLeftZ, ElbowRightX, ElbowRightY, ElbowRightZ, SpineX, SpineY, SpineZ, LeftHandX, LeftHandY, LeftHandZ, RightHandX, RightHandY, RightHandZ, LeftFootX, LeftFootY, LeftFootZ, RightFootX, RightFootY, RightFootZ
1,25,0.1786602,0.8650274,1.58836,0.03995027,0.6127321,1.58915,0.3892289,0.6314354,1.509779,0.2136159,0.6838129,1.560325,0.03513796,-0.2148595,1.328023,0.3773453,-0.1946258,1.25562,-0.0004435777,0.3676371,1.542005,0.5424917,0.512165,1.44198,0.2133752,0.4478795,1.517029,0.1236385,0.2972455,1.339854,0.3084601,0.3581055,1.296605,0.09473991,-0.455062,1.2519,0.3417705,-0.4611218,1.258062
1,26,0.1880559,0.8615587,1.585776,0.04475945,0.6110318,1.588808,0.3890241,0.6317363,1.510174,0.2212005,0.6797333,1.557618,0.04183621,-0.2167706,1.324334,0.380225,-0.196063,1.251678,-0.009553783,0.4062685,1.568159,0.5326711,0.4767391,1.431157,0.2198239,0.4448568,1.513808,0.1183929,0.2770586,1.338114,0.3216173,0.3337409,1.282638,0.09338539,-0.4615958,1.247584,0.3445515,-0.4691943,1.261259
1,27,0.1972572,0.8596199,1.58085,0.05389782,0.610953,1.589103,0.4047574,0.6157156,1.499326,0.2281316,0.6758888,1.554238,0.0491517,-0.2252806,1.319882,0.3836747,-0.2054922,1.245222,-0.0247902,0.3807596,1.522151,0.5271565,0.4643476,1.426244,0.2250947,0.4399211,1.510416,0.1338759,0.2803082,1.311134,0.3243059,0.3266952,1.280292,0.09120751,-0.4800583,1.241693,0.3399176,-0.4546338,1.260163
1,28,0.2025287,0.8584469,1.577811,0.0545456,0.6110818,1.589389,0.4044566,0.6164362,1.499804,0.2321616,0.6734715,1.552195,0.050751,-0.2283712,1.317895,0.3860405,-0.2091888,1.243647,-0.02125675,0.4250726,1.599333,0.5266684,0.4607072,1.424808,0.2283554,0.4378698,1.508643,0.1062545,0.2802075,1.366412,0.2764649,0.339557,1.303873,0.09194209,-0.4890303,1.240355,0.3404172,-0.4536118,1.253993
1,29,0.2052532,0.8583996,1.575234,0.06068941,0.616107,1.592645,0.4087319,0.6151486,1.496933,0.2357558,0.6729138,1.550367,0.05198288,-0.2310039,1.31717,0.3880607,-0.2123088,1.242645,-0.03020226,0.4390969,1.612637,0.5237375,0.4555834,1.418902,0.2315456,0.4370574,1.506753,0.07668605,0.2989891,1.382914,0.2560275,0.3722323,1.320845,0.09171626,-0.4945757,1.241837,0.3468426,-0.4454731,1.251426
1,30,0.2069898,0.8595348,1.573494,0.0606042,0.6165473,1.592785,0.406479,0.6187908,1.498351,0.2358625,0.6730024,1.550356,0.05191123,-0.231806,1.31768,0.3884317,-0.213385,1.242614,-0.04761352,0.4706097,1.638486,0.5233423,0.4558284,1.41796,0.2320667,0.4373339,1.506596,0.01043868,0.3273552,1.405477,0.2484971,0.4067812,1.328504,0.09169946,-0.4944281,1.241579,0.3501251,-0.4477393,1.252921
2,31,0.2075051,0.8610147,1.572692,0.06006118,0.6181652,1.593327,0.4035909,0.6236212,1.499472,0.2356531,0.6734508,1.550244,0.05236693,-0.2323093,1.318477,0.389931,-0.213526,1.244469,-0.06105769,0.4882578,1.648436,0.5235226,0.4597813,1.416623,0.2319624,0.4379392,1.506738,-0.008790781,0.3388147,1.411763,0.2412518,0.439494,1.339431,0.09216057,-0.4909466,1.24417,0.359261,-0.4230036,1.234847
2,32,0.203678,0.8680966,1.569858,0.05962922,0.6372815,1.600094,0.4043178,0.6319376,1.495345,0.2345916,0.6802756,1.547992,0.05286435,-0.2261705,1.32319,0.3877267,-0.2068506,1.249522,-0.07402094,0.5021725,1.655523,0.5242647,0.466802,1.414191,0.2302749,0.4447477,1.50718,-0.02052737,0.3482503,1.415187,0.242021,0.47653,1.336198,0.08719324,-0.483342,1.242511,0.3565763,-0.4207803,1.238094
2,33,0.1980654,0.8748491,1.565989,0.05639734,0.644024,1.602419,0.4011595,0.6440178,1.493013,0.2303998,0.6873889,1.545995,0.05137101,-0.2192074,1.328274,0.3828347,-0.200216,1.254516,-0.08422945,0.520218,1.670181,0.5243381,0.4723748,1.412185,0.2253501,0.4522713,1.508065,-0.04349486,0.3575621,1.424851,0.2429699,0.4981838,1.330616,0.04015703,-0.5342013,1.21801,0.3533972,-0.4204719,1.242343
2,34,0.1897624,0.8789998,1.565434,0.04795196,0.6503428,1.606412,0.3971536,0.6494241,1.491822,0.2253813,0.6926682,1.545153,0.03925073,-0.2127376,1.336077,0.3770227,-0.1926697,1.260571,-0.09504345,0.5343747,1.680165,0.5219512,0.4829742,1.405852,0.2192153,0.45801,1.509695,-0.07247129,0.3694331,1.438485,0.2441359,0.5268278,1.315398,0.1118327,-0.4339106,1.342315,0.3503363,-0.423015,1.144248
2,35,0.1807474,0.8733052,1.565583,0.04408775,0.6515291,1.607711,0.3931266,0.6485094,1.494388,0.2235831,0.6919018,1.546188,0.03101384,-0.2105615,1.339892,0.3723746,-0.1892972,1.263663,-0.1046213,0.5450666,1.68718,0.5157714,0.4934879,1.397008,0.2150261,0.4579322,1.511808,-0.1003003,0.3784261,1.44651,0.3941949,0.5003264,1.329249,0.1043594,-0.4282942,1.340641,0.3203338,-0.4457154,1.180609
2,36,0.1715658,0.8810398,1.561112,0.03000815,0.6522684,1.612074,0.3845563,0.648454,1.492125,0.2079908,0.6953335,1.543688,0.02101151,-0.2098476,1.342546,0.3679516,-0.1852205,1.263891,-0.1143239,0.5514103,1.691813,0.5023971,0.5097014,1.383571,0.2013291,0.4598719,1.512215,-0.1341822,0.3868921,1.452044,0.2604757,0.5537969,1.31823,0.001685638,-0.4098893,1.327041,0.3460895,-0.4422259,1.158871
2,37,0.1553349,0.8681327,1.563671,0.02851097,0.6524296,1.612851,0.37576,0.6405656,1.494985,0.2073003,0.6929957,1.545127,0.01072363,-0.2129115,1.341697,0.3612372,-0.1850271,1.262167,-0.1360307,0.5586406,1.701205,0.5002048,0.5177851,1.380724,0.1974428,0.4572023,1.514084,-0.1647499,0.389325,1.454664,0.2515382,0.5778701,1.34284,0.02141468,-0.4026924,1.332256,0.3487843,-0.4419542,1.16065
2,38,0.1455846,0.8757599,1.555866,-0.004682241,0.6485789,1.624364,0.3320133,0.6235372,1.473815,0.1844479,0.692167,1.54259,0.002640849,-0.2152708,1.339405,0.3510682,-0.1834707,1.255662,-0.1492923,0.5594847,1.703821,0.501025,0.525187,1.379929,0.1777705,0.4554046,1.513615,-0.1931753,0.3874341,1.455516,0.2446435,0.6002026,1.357327,0.04533333,-0.4048614,1.331796,0.28992,-0.3958275,1.256928
2,39,0.1302098,0.8729275,1.554934,-0.0125909,0.648657,1.626515,0.3305788,0.6240736,1.474019,0.174041,0.6915363,1.541781,-0.00483747,-0.2159751,1.337164,0.3468111,-0.1800549,1.251733,-0.1613311,0.5601115,1.705983,0.5001172,0.5338067,1.380196,0.1676435,0.4550772,1.513694,-0.2113917,0.3841595,1.457834,0.244358,0.6079862,1.376375,0.04581323,-0.437061,1.313975,0.2848006,-0.4104795,1.266482
2,40,0.1008172,0.8702579,1.553089,-0.04427157,0.6597404,1.632987,0.312131,0.6426183,1.480912,0.1489844,0.6933777,1.542663,-0.007798217,-0.2107752,1.337116,0.3302755,-0.166106,1.254507,-0.2335881,0.5435643,1.683255,0.4853426,0.5436888,1.38645,0.1424096,0.4602515,1.51594,-0.2098113,0.376302,1.453671,0.2294167,0.5958656,1.383934,-0.08856565,-0.4218615,1.212933,0.2872552,-0.3850877,1.247316
2,41,0.08881738,0.8688545,1.556128,-0.04304205,0.6587061,1.632079,0.3081365,0.6462783,1.482427,0.1425304,0.694131,1.543149,-0.01378058,-0.2100789,1.338057,0.3244,-0.1645951,1.254177,-0.2342664,0.5403306,1.684248,0.4726512,0.5425513,1.393995,0.1358183,0.4613095,1.516627,-0.19429,0.3708273,1.44794,0.1969167,0.5745663,1.390506,0.03220503,-0.4332423,1.312597,0.2714844,-0.4116211,1.269531
2,42,0.07120776,0.8734508,1.552442,-0.05884024,0.6579509,1.626769,0.2880082,0.6630003,1.490326,0.1201115,0.6970533,1.54612,-0.02097424,-0.208711,1.339764,0.322296,-0.1595104,1.257325,-0.234372,0.5224127,1.679465,0.4556795,0.5325735,1.408023,0.1196667,0.4641813,1.518768,-0.1749838,0.3625772,1.441622,0.1850894,0.5463425,1.380111,0.03551584,-0.4403963,1.314258,0.2820823,-0.4100375,1.263197
2,43,0.05834987,0.8739203,1.555031,-0.072152,0.6538656,1.620899,0.2812566,0.6660783,1.49388,0.1073652,0.6962689,1.547312,-0.02961474,-0.2087982,1.33966,0.3213514,-0.1560717,1.259004,-0.1872441,0.5138577,1.683897,0.4282368,0.5172622,1.42323,0.1081889,0.4637041,1.519692,-0.1487662,0.3506382,1.425592,0.1519311,0.5188128,1.352743,0.02967004,-0.4277732,1.31434,0.2891604,-0.405547,1.263966
2,44,0.04696516,0.8716254,1.558394,-0.07988347,0.6443592,1.608965,0.2564262,0.6551994,1.498031,0.09231114,0.6891897,1.546946,-0.03488505,-0.2168894,1.337881,0.3221136,-0.1549932,1.25879,-0.1847757,0.494281,1.671473,0.4114724,0.5043918,1.432096,0.09399819,0.4566572,1.519071,-0.1528763,0.3392333,1.421327,0.147516,0.4672602,1.346874,0.02631744,-0.4195406,1.313804,0.3326541,-0.4009872,1.238441
2,45,0.0334261,0.863637,1.559869,-0.09053901,0.6304742,1.602086,0.2412935,0.6410858,1.501084,0.07784554,0.6801497,1.54805,-0.04115682,-0.2270266,1.336153,0.3144745,-0.1626207,1.257344,-0.1821977,0.4613746,1.653021,0.4044951,0.4680433,1.414936,0.08225458,0.4477284,1.518489,-0.1065336,0.316671,1.391289,0.146793,0.4139017,1.322922,0.01147239,-0.4308469,1.307954,0.3339213,-0.4121266,1.237668
